Caso,S,T,n,m,Rec[us],Mem[us],DP[us],E.Rec[bytes],E.Mem[bytes],E.DP[bytes]
1,String 1,String 2,5,8,76.54,17.72,3.8,104,224,52
2,String 1,String 3,5,8,59.44,11,2.44,104,224,52
3,String 1,String 4,5,9,120.6,12.42,5.24,112,248,56
4,String 2,String 1,8,5,52.82,11.06,2.38,104,224,40
5,String 2,String 3,8,8,147.7,10.54,2.7,128,332,52
6,String 2,String 4,8,9,630,17.48,3.28,136,368,56
7,String 3,String 1,8,5,70.32,17.46,3.42,104,224,40
8,String 3,String 2,8,8,156.5,12.66,3.3,128,332,52
9,String 3,String 4,8,9,911.96,15.44,2.76,136,368,56
10,String 4,String 1,9,5,60.7,12.32,3.06,112,248,40
11,String 4,String 2,9,8,691.46,16.12,4.54,136,368,52
12,String 4,String 3,9,8,925.48,24.92,4.16,136,368,52
